[DEBUG] 2014-09-05 17:26:21,477 ==> Logging Provider: org.jboss.logging.Log4jLoggerProvider
    [DEBUG] 2014-09-05 17:26:22,008 ==> Adding type registration boolean -> org.hibernate.type.BooleanType@1bf496b
    [DEBUG] 2014-09-05 17:26:22,008 ==> Adding type registration boolean -> org.hibernate.type.BooleanType@1bf496b
    [DEBUG] 2014-09-05 17:26:22,008 ==> Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@1bf496b
    [DEBUG] 2014-09-05 17:26:22,018 ==> Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@cf9bf0
    [DEBUG] 2014-09-05 17:26:22,028 ==> Adding type registration true_false -> org.hibernate.type.TrueFalseType@16be7ee
    [DEBUG] 2014-09-05 17:26:22,028 ==> Adding type registration yes_no -> org.hibernate.type.YesNoType@3aabc1
    [DEBUG] 2014-09-05 17:26:22,068 ==> Adding type registration byte -> org.hibernate.type.ByteType@164a8c
    [DEBUG] 2014-09-05 17:26:22,068 ==> Adding type registration byte -> org.hibernate.type.ByteType@164a8c
    [DEBUG] 2014-09-05 17:26:22,068 ==> Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@164a8c
    [DEBUG] 2014-09-05 17:26:22,088 ==> Adding type registration character -> org.hibernate.type.CharacterType@5b891
    [DEBUG] 2014-09-05 17:26:22,088 ==> Adding type registration char -> org.hibernate.type.CharacterType@5b891
    [DEBUG] 2014-09-05 17:26:22,088 ==> Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@5b891
    [DEBUG] 2014-09-05 17:26:22,108 ==> Adding type registration short -> org.hibernate.type.ShortType@101b54e
    [DEBUG] 2014-09-05 17:26:22,108 ==> Adding type registration short -> org.hibernate.type.ShortType@101b54e
    [DEBUG] 2014-09-05 17:26:22,108 ==> Adding type registration java.lang.Short -> org.hibernate.type.ShortType@101b54e
    [DEBUG] 2014-09-05 17:26:22,118 ==> Adding type registration integer -> org.hibernate.type.IntegerType@7e942f
    [DEBUG] 2014-09-05 17:26:22,118 ==> Adding type registration int -> org.hibernate.type.IntegerType@7e942f
    [DEBUG] 2014-09-05 17:26:22,118 ==> Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@7e942f
    [DEBUG] 2014-09-05 17:26:22,148 ==> Adding type registration long -> org.hibernate.type.LongType@7208e4
    [DEBUG] 2014-09-05 17:26:22,148 ==> Adding type registration long -> org.hibernate.type.LongType@7208e4
    [DEBUG] 2014-09-05 17:26:22,148 ==> Adding type registration java.lang.Long -> org.hibernate.type.LongType@7208e4
    [DEBUG] 2014-09-05 17:26:22,168 ==> Adding type registration float -> org.hibernate.type.FloatType@811e18
    [DEBUG] 2014-09-05 17:26:22,168 ==> Adding type registration float -> org.hibernate.type.FloatType@811e18
    [DEBUG] 2014-09-05 17:26:22,168 ==> Adding type registration java.lang.Float -> org.hibernate.type.FloatType@811e18
    [DEBUG] 2014-09-05 17:26:22,228 ==> Adding type registration double -> org.hibernate.type.DoubleType@17b1c02
    [DEBUG] 2014-09-05 17:26:22,228 ==> Adding type registration double -> org.hibernate.type.DoubleType@17b1c02
